item_id,nome,artista,genero,tempo,instrumentacao,palavra_chave,humor,duracao_segundos,idioma,tags,descricao,youtube_url
1,Blinding Lights,The Weeknd,Pop,Rápido,"Sintetizador, Voz",pop,Animado,200,Inglês,"pop, rápido, 2020, hit",Hit pop moderno com forte influência de synthwave.,https://youtu.be/fHI8X4OXluQ?si=B_OePl14nhgMTZ2g
2,Shape of You,Ed Sheeran,Pop,Médio,"Violão, Voz, Percussão",pop,Animado,234,Inglês,"pop, dançante, radio",Faixa pop romântica com ritmo envolvente.,https://youtu.be/_dK2tDK9grQ?si=xag9qkf88tHRIb9o
3,Bohemian Rhapsody,Queen,Rock,Médio,"Guitarra, Piano, Voz, Bateria",rock,Dramático,355,Inglês,"rock, clássico, anos 70",Clássico do rock com estrutura não convencional.,https://youtu.be/fJ9rUzIMcZQ?si=RhDlMxFmn4j-vvnP
4,Smells Like Teen Spirit,Nirvana,Rock,Rápido,"Guitarra, Bateria, Baixo, Voz",rock,Animado,301,Inglês,"rock, grunge, anos 90",Hino do grunge que marcou os anos 90.,https://youtu.be/hTWKbfoikeg?si=rcIAv96R4NpuE9iH
5,Take Five,The Dave Brubeck Quartet,Jazz,Médio,"Saxofone, Piano, Bateria",jazz,Chill,324,Instrumental,"jazz, clássico, instrumental","Jazz em compasso 5/4, um dos mais icônicos da história.",https://youtu.be/-DHuW1h1wHw?si=Am7tJEykcpp92KFH
6,Garota de Ipanema,Tom Jobim,MPB,Médio,"Violão, Voz, Piano",mpb,Relaxado,210,Português,"mpb, bossa nova, clássico",Um dos maiores clássicos da Bossa Nova.,https://youtu.be/WuenyQ4NCQE?si=eQk77CP-sYzT4ln_
7,Aquarela do Brasil,Ary Barroso,MPB,Médio,"Orquestra, Voz",mpb,Animado,260,Português,"mpb, samba, clássico",Canção brasileira clássica com forte identidade nacional.,https://youtu.be/r3Zjp1AO9lI?si=ougWDLKnpJK6z0Gr
8,Blue in Green,Miles Davis,Jazz,Lento,"Trompete, Piano, Baixo",jazz,Triste,329,Instrumental,"jazz, modal, clássico",Balada jazz melancólica e introspectiva.,https://youtu.be/TLDflhhdPCg?si=NZWGcEWl4jNKuute
9,Clair de Lune,Claude Debussy,Clássica,Lento,Piano,clássica,Relaxado,290,Instrumental,"clássica, piano, romântico","Peça de piano impressionista, suave e contemplativa.",https://youtu.be/WNcsUNKlAKw?si=gnYqE8PaMopiYUwW
10,Für Elise,Ludwig van Beethoven,Clássica,Médio,Piano,clássica,Nostálgico,195,Instrumental,"clássica, piano, estudo","Peça de piano extremamente conhecida, muito usada em estudo.",https://youtu.be/wfF0zHeU3Zs?si=nST9iT5vBi7s7wgw
11,SICKO MODE,Travis Scott,Hip Hop,Médio,"Beat, Voz",hip hop,Animado,312,Inglês,"hip hop, trap, moderno",Track de hip hop/trap com mudanças de beat marcantes.,https://youtu.be/6ONRf7h3Mdk?si=IhFfv9TX4RpMD-9E
12,God's Plan,Drake,Hip Hop,Médio,"Beat, Voz",hip hop,Chill,210,Inglês,"hip hop, chill, radio",Faixa de hip hop com clima mais tranquilo e melódico.,https://youtu.be/xpVfcZ0ZcFM?si=eZtR2ARVnWo9C2yC
13,One More Time,Daft Punk,Eletrônica,Rápido,"Sintetizador, Voz",eletrônica,Animado,320,Inglês,"eletrônica, house, clássico",Clássico da música eletrônica para festas.,https://youtu.be/FGBhQbmPwH8?si=bPjT_BZKZ_wy-IaQ
14,Strobe,deadmau5,Eletrônica,Médio,Sintetizador,eletrônica,Focado,630,Instrumental,"eletrônica, progressivo, longa","Faixa longa e progressiva, muito usada para foco.",https://youtu.be/tKi9Z-f6qX4?si=3NzeYiRJEOQi4QD6
15,Lose Yourself,Eminem,Hip Hop,Médio,"Beat, Voz",hip hop,Focado,326,Inglês,"hip hop, trilha sonora, motivacional",Faixa intensa e motivacional de Eminem.,https://youtu.be/xFYQQPAOz7Y?si=OSGw35PjBTduHtkP
16,Astronomia,Vicetone & Tony Igy,Eletrônica,Rápido,Sintetizador,eletrônica,Animado,222,Instrumental,"eletrônica, meme, dançante",Música eletrônica que ficou famosa em memes de internet.,https://youtu.be/E-UidYgpn2A?si=03mEI6FuLDJf_T1C
17,Numb,Linkin Park,Rock,Médio,"Guitarra, Bateria, Synth",rock,Triste,185,Inglês,"rock, nu metal, anos 2000",Faixa melancólica e intensa da banda Linkin Park.,https://youtu.be/kXYiU_JCYtU?si=QJysU8JPj1d9BUbT
18,Perfect,Ed Sheeran,Pop,Lento,"Violão, Voz",pop,Romântico,263,Inglês,"pop, balada, romântico",Balada romântica muito popular em casamentos.,https://youtu.be/2Vv-BfVoq4g?si=cpNK40Nj7AoPPFd0
19,Creep,Radiohead,Rock,Médio,"Guitarra, Bateria, Voz",rock,Triste,238,Inglês,"rock, alternativo, anos 90",Rock alternativo com clima melancólico e introspectivo.,https://youtu.be/XFkzRNyygfk?si=G_wPxYQ6mZ_y67gW
20,All of Me,John Legend,Pop,Lento,"Piano, Voz",pop,Romântico,269,Inglês,"pop, balada, piano",Balada romântica com piano marcante.,https://youtu.be/450p7goxZqg?si=h-hmOmNbxoQA1Hb9
21,Ocean Eyes,Billie Eilish,Indie,Lento,"Synth, Voz",indie,Triste,215,Inglês,"indie, pop alternativo, chill",Faixa suave e melancólica de Billie Eilish.,https://youtu.be/viimfQi_pUw?si=QsZEJqsqnOHG30Xk
22,Sweater Weather,The Neighbourhood,Indie,Médio,"Guitarra, Voz, Synth",indie,Chill,240,Inglês,"indie, alternativo, chill",Hit indie com clima chill e romântico.,https://youtu.be/GCdwKhTtNNw?si=kO7blql2r3ixQide
